sample-id,primer,Depth,env_broad_scale,env_local_scale,env_medium,geo_loc_name,Sample Name,ammonium,nitrate,diss_oxygen,ph,lake,info,depth,temp,conductivity,ChlA,turbidity,PAR,DRP,is_delta,latitude,longitude,BioProject,BioSample,BioSampleModel,Collection_Date,Experiment,geo_loc_name_country,geo_loc_name_country_continent,lat_lon,Library Name,Organism,SRA Study,elev,tot_org_carb,calcium,Chloride,magnesium,org_carb,sulfate,diss_org_carb,Salinity,potassium,sodium,TEMP,altitude
SRR17879716,E527F_E1009R,surface,Sheldrake_River,River,water,Canada,R9_DNA_small,,,,,,,,,,,,,,,,,PRJNA803180,SAMN25638981,"MIMARKS.survey,MIGS/MIMS/MIMARKS.water",27/08/2019,SRX14039142,Canada,North America,56.629550 N 76.529700 W,R9.DNA.S.18S,freshwater metagenome,SRP358197,,,,,,,,,,,,,
SRR17879717,E527F_E1009R,surface,Sheldrake_River,River,water,Canada,R9_DNA_large,,,,,,,,,,,,,,,,,PRJNA803180,SAMN25638980,"MIMARKS.survey,MIGS/MIMS/MIMARKS.water",27/08/2019,SRX14039141,Canada,North America,56.629550 N 76.529700 W,R9.DNA.L.18S,freshwater metagenome,SRP358197,,,,,,,,,,,,,
SRR17879718,E527F_E1009R,surface,Sheldrake_River,River,water,Canada,R8_RNA_small,,,,,,,,,,,,,,,,,PRJNA803180,SAMN25638979,"MIMARKS.survey,MIGS/MIMS/MIMARKS.water",26/08/2019,SRX14039140,Canada,North America,56.628333 N 76.493417 W,R8.RNA.S.18S,freshwater metagenome,SRP358197,,,,,,,,,,,,,
SRR17879719,E527F_E1009R,surface,Sheldrake_River,River,water,Canada,R8_RNA_large,,,,,,,,,,,,,,,,,PRJNA803180,SAMN25638978,"MIMARKS.survey,MIGS/MIMS/MIMARKS.water",26/08/2019,SRX14039139,Canada,North America,56.628333 N 76.493417 W,R8.RNA.L.18S,freshwater metagenome,SRP358197,,,,,,,,,,,,,
SRR17879720,E527F_E1009R,surface,Sheldrake_River,River,water,Canada,R8_DNA_small,,,,,,,,,,,,,,,,,PRJNA803180,SAMN25638977,"MIMARKS.survey,MIGS/MIMS/MIMARKS.water",26/08/2019,SRX14039138,Canada,North America,56.628333 N 76.493417 W,R8.DNA.S.18S,freshwater metagenome,SRP358197,,,,,,,,,,,,,
SRR17879721,E527F_E1009R,surface,Sheldrake_River,River,water,Canada,R8_DNA_large,,,,,,,,,,,,,,,,,PRJNA803180,SAMN25638976,"MIMARKS.survey,MIGS/MIMS/MIMARKS.water",26/08/2019,SRX14039137,Canada,North America,56.628333 N 76.493417 W,R8.DNA.L.18S,freshwater metagenome,SRP358197,,,,,,,,,,,,,
SRR17879722,E527F_E1009R,surface,Sheldrake_River,River,water,Canada,R7_RNA_small,,,,,,,,,,,,,,,,,PRJNA803180,SAMN25638975,"MIMARKS.survey,MIGS/MIMS/MIMARKS.water",25/08/2019,SRX14039136,Canada,North America,56.624217 N 76.438467 W,R7.RNA.S.18S,freshwater metagenome,SRP358197,,,,,,,,,,,,,
SRR17879723,E527F_E1009R,surface,Sheldrake_River,River,water,Canada,R7_RNA_large,,,,,,,,,,,,,,,,,PRJNA803180,SAMN25638974,"MIMARKS.survey,MIGS/MIMS/MIMARKS.water",25/08/2019,SRX14039135,Canada,North America,56.624217 N 76.438467 W,R7.RNA.L.18S,freshwater metagenome,SRP358197,,,,,,,,,,,,,
SRR17879724,E527F_E1009R,surface,Sheldrake_River,River,water,Canada,R7_DNA_small,,,,,,,,,,,,,,,,,PRJNA803180,SAMN25638973,"MIMARKS.survey,MIGS/MIMS/MIMARKS.water",25/08/2019,SRX14039134,Canada,North America,56.624217 N 76.438467 W,R7.DNA.S.18S,freshwater metagenome,SRP358197,,,,,,,,,,,,,
SRR17879725,E527F_E1009R,surface,Sheldrake_River,River,water,Canada,R7_DNA_large,,,,,,,,,,,,,,,,,PRJNA803180,SAMN25638972,"MIMARKS.survey,MIGS/MIMS/MIMARKS.water",25/08/2019,SRX14039133,Canada,North America,56.624217 N 76.438467 W,R7.DNA.L.18S,freshwater metagenome,SRP358197,,,,,,,,,,,,,
